FullName,Distance,Event,SwimmerAge,EventCompetitionCategoryKey,SwimTime,SwimTimeAdj,Standard,MeetName,SwimDate,ClubName,LscCode,IsForeign,Rank,PowerPoints,Sanctioned
"Crooks, Jordan",50,50 FR SCY,21,2,17.99,17.99,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,University Of Tennessee,SE,True,1,1101,Yes
"Liendo, Josh",50,50 FR SCY,21,2,18.07,18.07,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University of Florida,FL,True,2,1092,Yes
"Alexy, Jack",50,50 FR SCY,21,2,18.38,18.38,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,California Aquatics,PC,False,3,1059,Yes
"Guiliano, Chris",50,50 FR SCY,20,2,18.43,18.43,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University Of Notre Dame,IN,False,4,1054,Yes
"Seeliger, Bjorn",50,50 FR SCY,24,2,18.54,18.54,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,California Aquatics,PC,True,5,1043,Yes
"Caribe, Gui",50,50 FR SCY,21,2,18.57,18.57,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,University Of Tennessee,SE,True,6,1040,Yes
"Dolan, Jack",50,50 FR SCY,23,2,18.59,18.59,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Sun Devil Swimming,AZ,False,7,1037,Yes
"Kulow, Jonny",50,50 FR SCY,19,2,18.64,18.64,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Sun Devil Swimming,AZ,False,8,1032,Yes
"Ramadan, Youssef",50,50 FR SCY,21,2,18.74,18.74,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Virginia Tech,VA,True,9,1022,Yes
"Brownstead, Matt",50,50 FR SCY,21,2,18.74,18.74,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,Unattached,US,False,9,1022,Yes
"Torepe-Ormsby, Taiko",50,50 FR SCY,20,2,18.76,18.76,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Unattached,US,True,11,1020,Yes
"Tirheimer, Logan",50,50 FR SCY,22,2,18.79,18.79,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Auburn University,SE,False,12,1017,Yes
"McCarty, Quintin",50,50 FR SCY,19,2,18.80,18.80,2024 Summer Nationals (LCM),NC State GAC Invitational,11/16/2023,NC State University,NC,False,13,1016,Yes
"Hribar, Jere",50,50 FR SCY,20,2,18.81,18.81,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Unattached,US,True,14,1014,Yes
"Kharun, Ilya",50,50 FR SCY,19,2,18.82,18.82,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/7/2024,Sun Devil Swimming,AZ,True,15,1013,Yes
"Elaraby, Abdelrahman",50,50 FR SCY,23,2,18.82,18.82,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,University Of Notre Dame,IN,True,15,1013,Yes
"Foote, Connor",50,50 FR SCY,20,2,18.87,18.87,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Texas A & M University,GU,False,17,1008,Yes
"McDuff, Macguire",50,50 FR SCY,20,2,18.87,18.87,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,University of Florida,FL,False,17,1008,Yes
"Ostrowski, Karol",50,50 FR SCY,24,2,18.89,18.89,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,Hawaii Aquatics,HI,True,19,1006,Yes
"Chaney, Adam",50,50 FR SCY,21,2,18.91,18.91,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,University of Florida,FL,False,20,1004,Yes
"Henderson, Noah",50,50 FR SCY,22,2,18.93,18.93,2024 Summer Nationals (LCM),2024 NCAA Division I Men's Championships,3/28/2024,NC State University,NC,False,21,1002,Yes
"Salls, Drew",50,50 FR SCY,20,2,18.99,18.99,2024 Summer Nationals (LCM),2024 Atlantic Coast Conference Championships,2/21/2024,NC State University,NC,False,22,996,Yes
"Szabados, Bence",50,50 FR SCY,22,2,19.00,19.00,2024 Summer Nationals (LCM),2024 Men's B1G Championships,2/29/2024,Univ. Of Michigan Swim Team,MI,True,23,995,Yes
"Downing, Dillon",50,50 FR SCY,23,2,19.02,19.02,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,US,False,24,993,Yes
"Fullum-Huot, Ed",50,50 FR SCY,21,2,19.02,19.02,2024 Summer Nationals (LCM),2024 Southeastern Conference Champs,2/21/2024,Unattached,US,True,24,993,Yes
"Peel, Cam",50,50 FR SCY,23,2,19.03,19.03,2024 Summer Nationals (LCM),2024 Men's PAC 12 Championships,3/8/2024,Unattached,US,False,26,992,Yes
"Taylor, Lamar",50,50 FR SCY,20,2,19.03,19.03,2024 Summer Nationals (LCM),2024 NCAA Division II Championships,3/13/2024,Unattached,AR,True,26,992,Yes
"Battaglini, Lucca",50,50 FR SCY,18,2,19.06,19.06,2024 Summer Nationals (LCM),2023 Speedo Winter Junior Championships - East,12/7/2023,East Carolina Aquatics,NC,False,28,989,Yes
